Edge Type,Source Vertex ID,Source Vertex Type,Target Vertex ID,Target Vertex Type,business
product_company,51f20fc013c9c908acfa3646bf026f10,Product,418359428763861087,Company,销售
product_company,1d5307922275f59e0ea012f104b51994,Product,694784244045023342,Company,服务
product_company,af11187051caa36d1f0de05fb6b22e39,Product,287355056086237784,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,247980271577489571,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,994860408322618335,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,322621438040763659,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,626343442234214560,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,700363911203258318,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,206744785134643264,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,296672423533355561,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,811270162545491283,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,498194818118203593,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,25494911843761450,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,106250347682390344,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,163996756307969594,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,368543109841098879,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,610694591025701777,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,805786425841251355,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,955646995909198815,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,625797585335522010,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,1098725896957777847,Company,经营
product_company,af11187051caa36d1f0de05fb6b22e39,Product,947312044554764208,Company,经营
product_company,e860e20adbd0ea32c0b1340a5fcd94a2,Product,36914677140546419,Company,研发
product_company,e860e20adbd0ea32c0b1340a5fcd94a2,Product,559690794042962869,Company,销售
product_company,da2d05c106c3b489f4d7fd704a2e0c16,Product,694784244045023342,Company,研发
product_company,da2d05c106c3b489f4d7fd704a2e0c16,Product,559690794042962869,Company,生产
product_company,432942365855060040,Product,828353907651150000,Company,非上市公司
product_company,432942365855060040,Product,548603407507666278,Company,研发
product_company,432942365855060040,Product,72904293116891703,Company,销售
product_company,432942365855060040,Product,977535127985668150,Company,销售
product_company,432942365855060040,Product,188913173881447441,Company,经营
product_company,432942365855060040,Product,915221647249535717,Company,销售
product_company,432942365855060040,Product,230721533458616083,Company,销售
product_company,432942365855060040,Product,381160627294553716,Company,服务
product_company,432942365855060040,Product,116144983473175382,Company,销售
product_company,432942365855060040,Product,600326523450929550,Company,销售
product_company,432942365855060040,Product,836887331467412758,Company,销售
product_company,432942365855060040,Product,282025101489664764,Company,维修
product_company,432942365855060040,Product,1059349976312850225,Company,销售
product_company,432942365855060040,Product,553543897633608742,Company,销售
product_company,432942365855060040,Product,974393070326589008,Company,酒
product_company,432942365855060040,Product,965529723791053195,Company,租赁
product_company,432942365855060040,Product,493783064283262984,Company,经营
product_company,432942365855060040,Product,741387395405922165,Company,车
product_company,432942365855060040,Product,379918962075857890,Company,研发
product_company,432942365855060040,Product,24562527139754659,Company,维修
product_company,ded7c5943ed93d74be8e9e91828725fd,Product,694784244045023342,Company,制造
product_company,30c248b44aaf94c06eb3c82d24601237,Product,02da455357ea9fd7e6466792d3b6f811,Company,制造
product_company,c987e57f21f96a33d7a6a50728ce2a9d,Product,664819799118612642,Company,销售